time,concentration,particles03,particles05,particles10,particles25,particles50,particles100,['Time'],['Temperature'],['Gas'],['Relative Humidity'],['Pressure'],['Altitude']
0,0,117,30,2,1,0,0,15:02:52,34.126875,18728,100,702.8021413906823,2981.2681602637194
1,0,111,27,2,0,0,0,15:02:53,22.4075390625,7980,46.71729864909436,1008.8752175531826,36.486887603355726
2,0,111,27,2,0,0,0,15:02:54,22.445234375,10745,46.64835650166129,1008.8882457729983,36.37803864715876
3,0,111,27,2,0,0,0,15:02:55,22.490546875,13135,46.54976503731493,1008.8967828809384,36.30671292040333
4,0,117,30,2,0,0,0,15:02:56,22.53546875,15238,46.451173429377064,1008.9080991521279,36.21216862717089
5,0,117,30,2,0,0,0,15:02:57,22.57609375,17078,46.36433635123575,1008.9191190387173,36.12010136990341
6,0,117,30,2,0,0,0,15:02:58,22.61359375,18897,46.28937775980121,1008.9214818449263,36.1003610652136
7,0,117,31,2,0,0,0,15:02:59,22.647578125,20751,46.23844793090532,1008.9214146710262,36.10092227587447
8,0,117,31,2,0,0,0,15:03:00,22.6774609375,22562,46.16263267564385,1008.9162218471137,36.144306302792515
9,0,117,31,2,0,0,0,15:03:01,22.7051953125,24356,46.11709493128948,1008.9074417353993,36.21766113729923
10,0,126,34,3,1,0,0,15:03:02,22.731171875,26133,46.08355892169493,1008.9060452936523,36.22932797878194
11,0,126,34,3,1,0,0,15:03:03,22.7567578125,28113,46.080480273933986,1008.9125939659991,36.17461594772788
12,0,126,34,3,1,0,0,15:03:04,22.7784375,29792,46.076940616280126,1008.9109065323323,36.18871388059058
13,0,141,40,3,1,0,0,15:03:05,22.796015625,31564,46.03631863516641,1008.9144178815291,36.15937777690981
14,0,141,40,3,1,0,0,15:03:06,22.8128125,33373,46.00780830004129,1008.9114651257712,36.1840470207769
15,0,141,40,3,1,0,0,15:03:07,22.8290234375,35077,45.95484515118407,1008.9109741929391,36.18814859892916
16,0,159,47,3,1,0,0,15:03:08,22.8438671875,36802,45.90173513613759,1008.9150830616156,36.1538204374978
17,0,159,47,3,1,0,0,15:03:09,22.85734375,38421,45.88503975506676,1008.9186317206874,36.12417272258428
18,0,159,47,3,1,0,0,15:03:10,22.870625,39921,45.86832254300139,1008.9149731555708,36.154738662608175
19,0,165,49,4,1,0,0,15:03:11,22.883125,41626,45.85760780262099,1008.9203326264145,36.10996232343132
20,0,165,49,4,1,0,0,15:03:12,22.8923046875,43303,45.82213184512125,1008.9201556208136,36.111441134786965
21,0,165,49,4,1,0,0,15:03:13,22.9020703125,44975,45.79282250764066,1008.9175145414724,36.13350632659789
22,0,147,44,4,1,0,0,15:03:14,22.9118359375,46471,45.73915799841805,1008.9148729570826,36.1555757846795
