time,concentration,particles03,particles05,particles10,particles25,particles50,particles100,['Time'],['Temperature'],['Gas'],['Relative Humidity'],['Pressure'],['Altitude']
0,0,6,1,0,0,0,0,15:54:13,34.127265625,177534,100,632.3947117068026,3803.609948010569
1,0,6,1,0,0,0,0,15:54:14,28.671015625,47675,27.81852037470668,1002.5579558991324,89.40130954109816
2,0,6,1,0,0,0,0,15:54:15,28.6909375,49617,27.79827166503938,1002.5490959854942,89.47571098063621
3,0,6,1,0,0,0,0,15:54:16,28.71125,51851,27.761651581403896,1002.5426291892378,89.53001646805389
4,0,6,1,0,0,0,0,15:54:17,28.728828125,54296,27.72481530991161,1002.5314608217,89.62380447960696
5,0,6,1,0,0,0,0,15:54:18,28.746015625,56713,27.67702412369794,1002.5230675168494,89.69428905025678
6,0,6,1,0,0,0,0,15:54:19,28.760859375,59106,27.639982563325397,1002.5227142135327,89.69725600082334
7,0,6,1,0,0,0,0,15:54:20,28.7727734375,61800,27.602710592976827,1002.5242222317913,89.68459205649125
8,0,21,1,0,0,0,0,15:54:21,28.7848828125,64109,27.560001882805466,1002.5191681750362,89.72703476875625
9,0,21,1,0,0,0,0,15:54:22,28.7940625,66704,27.555286622878096,1002.5194245926026,89.72488143360134
10,0,21,1,0,0,0,0,15:54:23,28.8008984375,68553,27.555841795171506,1002.5208260000526,89.71311274728683
11,0,21,1,0,0,0,0,15:54:24,28.8094921875,71225,27.562000834573933,1002.5183505388974,89.73390109007505
12,0,21,1,0,0,0,0,15:54:25,28.8204296875,73530,27.58473637938879,1002.5181778534068,89.73535126391957
13,0,21,1,0,0,0,0,15:54:26,28.8321484375,75376,27.602077128577093,1002.517622716309,89.74001318155698
14,0,21,1,0,0,0,0,15:54:27,28.839765625,77603,27.608159998180138,1002.518641082456,89.73146117119121
15,0,21,1,0,0,0,0,15:54:28,28.849921875,79286,27.614449991674334,1002.5136755217283,89.7731609022938
16,0,21,1,0,0,0,0,15:54:29,28.85421875,81437,27.609336129329595,1002.5038144070869,89.85597295788784
17,0,21,1,0,0,0,0,15:54:30,28.86515625,83293,27.604762748106225,1002.5105372715683,89.79951535111745
18,0,21,1,0,0,0,0,15:54:31,28.8786328125,85149,27.60039598236608,1002.5130000731634,89.77883318972228
19,0,21,1,0,0,0,0,15:54:32,28.8911328125,86910,27.606876878531786,1002.5051613070058,89.84466186999008
20,0,21,1,0,0,0,0,15:54:33,28.9044140625,88464,27.586103842946287,1002.5107361421863,89.79784527018678
21,0,21,1,0,0,0,0,15:54:34,28.91671875,89980,27.570716042158914,1002.5146324491391,89.76512481483333
